시도교육청,교육지원청,지역,정보공시학교코드,학교명,학교급코드,설립구분,주야간,제외여부,제외사유,1학년학급수,1학년학생수,1학년학급당학생수,2학년학급수,2학년학생수,2학년학급당학생수,3학년학급수,3학년학생수,3학년학급당학생수,특수학급학급수,특수학급학생수,특수학급학급당학생수,순회학급학급수,순회학급학생수,순회학급학급당학생수,학급수계,학생수계,학급당학생수계,교사수계,수업교원1인당학생수,학교급,담당자,학교특성,특성화고 구분,특성화고 담당자
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090000552,매향여자정보고등학교,4,사립,주간,N,,10,210,21,10,200,20,10,206,20.6,0,0,0,0,0,0,30,616,20.5,68,9.1,고등,송훈재,특성화고등학교,특성화고등학교,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090002415,매향중학교,3,사립,주간,N,,4,120,30,6,164,27.3,6,158,26.3,0,0,0,0,0,0,16,442,27.6,30,14.7,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090000603,삼일고등학교,4,사립,주간,N,,12,265,22.1,12,261,21.8,12,282,23.5,0,0,0,0,0,0,36,808,22.4,75,10.8,고등,송훈재,특성화고등학교,특성화고등학교,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090000602,삼일공업고등학교,4,사립,주간,N,,14,311,22.2,14,296,21.1,14,337,24.1,0,0,0,0,0,0,42,944,22.5,92,10.3,고등,송훈재,특성화고등학교,특성화고등학교,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090002420,삼일중학교,3,사립,주간,N,,5,152,30.4,6,171,28.5,5,137,27.4,0,0,0,0,0,0,16,460,28.8,29,15.9,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090000645,수원고등학교,4,사립,주간,N,,12,299,24.9,12,304,25.3,13,281,21.6,0,0,0,0,0,0,37,884,23.9,70,12.6,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090000646,수원공업고등학교,4,사립,주간,N,,13,291,22.4,15,338,22.5,15,341,22.7,0,0,0,0,0,0,43,970,22.6,94,10.3,고등,송훈재,특성화고등학교,특성화고등학교,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090000649,수원여자고등학교,4,공립,주간,N,,11,269,24.5,11,265,24.1,11,260,23.6,0,0,0,0,0,0,33,794,24.1,68,11.7,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090002424,수원제일중학교,3,공립,주간,N,,1,25,25,2,41,20.5,2,23,11.5,2,13,6.5,0,0,0,7,102,14.6,16,6.4,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090006969,수원제일중학교부설방송통신중학교,25,공립,주간,N,,2,44,22,2,47,23.5,3,68,22.7,0,0,0,0,0,0,7,159,22.7,19,8.4,중등,송훈재,,,
